,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
20,13.0,2.0,15.0,0.0,596.7389668415244,-0.18492210061329112,1.0,g2t13,2.0,13.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,0.0,5.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,0.0,4.0,1.0,3.0,2.0,0.0,5.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,0.0,5.0,3.0,2.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0
22,14.0,2.0,9.0,0.0,610.9745107132251,0.5373237395074445,3.0,g2t14,2.0,14.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,5.0,0.0
24,1.0,3.0,16.0,0.0,504.34309060214446,-0.3188450479074039,1.0,g3t1,3.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0
26,4.0,3.0,11.0,0.0,426.68968062260933,-0.33660268259611925,0.0,g3t4,3.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0
28,8.0,3.0,7.0,0.0,444.06728508978824,0.5678543533718692,1.0,g3t8,3.0,8.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0
30,10.0,3.0,12.0,0.0,494.430010031883,0.19562063267509489,4.0,g3t10,3.0,10.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0
32,12.0,3.0,10.0,0.0,600.6395878271003,0.31336728447747636,1.0,g3t12,3.0,12.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0,4.0,1.0
34,13.0,3.0,13.0,0.0,479.9473460766564,-0.18695714538904604,0.0,g3t13,3.0,13.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0
36,3.0,4.0,10.0,0.0,305.840670953972,-0.6251038543301878,2.0,g4t3,4.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,5.0,0.0
38,4.0,4.0,9.0,0.0,317.53538282916344,0.397124094103281,0.0,g4t4,4.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0
40,5.0,4.0,6.0,0.0,417.7863865735079,0.32363300301526554,1.0,g4t5,4.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,5.0,0.0,3.0,2.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,2.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0
42,7.0,4.0,10.0,0.0,401.0758754887567,-0.41774193534633475,2.0,g4t7,4.0,7.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0
44,8.0,4.0,19.0,0.0,345.08178951761573,-0.4304256803300237,0.0,g4t8,4.0,8.0,0.0,5.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,0.0,5.0,5.0,0.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,4.0,4.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,3.0,2.0
46,9.0,4.0,9.0,0.0,361.19701716661865,0.7325777286148881,1.0,g4t9,4.0,9.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0
48,10.0,4.0,25.0,0.0,403.379102209459,0.30775545490101014,6.0,g4t10,4.0,10.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0
50,11.0,4.0,12.0,0.0,445.0680374925579,-0.46991827168100425,1.0,g4t11,4.0,11.0,1.0,4.0,4.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0
52,12.0,4.0,10.0,0.0,461.3132155936403,-0.22579926832415714,1.0,g4t12,4.0,12.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0
54,13.0,4.0,16.0,0.0,358.24728451246847,-0.31798125109351266,5.0,g4t13,4.0,13.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0
56,3.0,5.0,9.0,0.0,378.7381330018516,-0.4903191675545803,2.0,g5t3,5.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0
58,4.0,5.0,9.0,0.0,356.7585383594734,-0.5375726343713393,2.0,g5t4,5.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,2.0,3.0,2.0,3.0
60,9.0,5.0,16.0,0.0,422.10016039959714,0.49840922832879386,1.0,g5t9,5.0,9.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,4.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0
